;#;Departamento;Municipio;COALICION 1;COALICION 2;PARTIDO 1;PARTIDO 2;PARTIDO 3;PARTIDO 4;PARTIDO 5;PARTIDO 6;PARTIDO 7;PARTIDO 8;PARTIDO 9
1;1;ahuachapan;ahuchapan;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
2;2;ahuachapan;apaneca;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
3;3;ahuachapan;atiquizaya;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
4;4;ahuachapan;concepcion-de-ataco;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
5;5;ahuachapan;el-refugio;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
6;6;ahuachapan;guaymango;N-PCN;;;FMLN;;PDC;VAMOS;;GANA;CD;ARENA
7;7;ahuachapan;jujutla;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
8;8;ahuachapan;san-francisco-menendez;N-PCN;;;FMLN;;PDC;VAMOS;;GANA;CD;ARENA
9;9;ahuachapan;san-lorenzo;N-GANA;;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA
10;10;ahuachapan;san-pedro-tuxtla;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
11;11;ahuachapan;tacuba;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
12;12;ahuachapan;turin;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
13;1;cabanas;sensuntepeque;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
14;2;cabanas;cinquera;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
15;3;cabanas;dolores;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
16;4;cabanas;guacotecti;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
17;5;cabanas;ilobasco;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
18;6;cabanas;jutiapa;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
19;7;cabanas;san-isidro;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
20;8;cabanas;tejutepeque;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
21;9;cabanas;victoria;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
22;1;chalatenango;chalatenango;GANA-PCN;;;FMLN;N;PDC;VAMOS;;;CD;ARENA
23;2;chalatenango;agua-caliente;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
24;3;chalatenango;arcatao;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
25;4;chalatenango;azacualpa;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
26;5;chalatenango;san-jose-cancasque;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
27;6;chalatenango;citala;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
28;7;chalatenango;comalapa;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
29;8;chalatenango;concepcion-quezaltepeque;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
30;9;chalatenango;dulce-nombre-de-maria;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
31;10;chalatenango;el-carrizal;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
32;11;chalatenango;el-paraiso;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
33;12;chalatenango;la-laguna;ARENA-PCN;;;FMLN;N;PDC;VAMOS;;GANA;CD;
34;13;chalatenango;la-palma;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
35;14;chalatenango;la-reina;N-GANA;;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA
36;15;chalatenango;las-flores;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
37;16;chalatenango;las-vueltas;N-GANA;;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA
38;17;chalatenango;nombre-de-jesus;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
39;18;chalatenango;nueva-concepcion;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
40;19;chalatenango;nueva-trinidad;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
41;20;chalatenango;ojos-de-agua;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
42;21;chalatenango;potonico;N-GANA;;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA
43;22;chalatenango;san-antonio-de-la-cruz;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
44;23;chalatenango;san-antonio-los-ranchos;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
45;24;chalatenango;san-fernando;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
46;25;chalatenango;san-francisco-lempa;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
47;26;chalatenango;san-francisco-morazan;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
48;27;chalatenango;san-ignacio;N-GANA;;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA
49;28;chalatenango;san-isidro-labrador;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
50;29;chalatenango;san-luis-del-carmen;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
51;30;chalatenango;san-miguel-de-mercedes;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
52;31;chalatenango;san-rafael;N-PCN-GANA;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
53;32;chalatenango;santa-rita;N-GANA;;;FMLN;;PDC;VAMOS;;;CD;ARENA
54;33;chalatenango;tejutla;ARENA-PCN;N-CD;;FMLN;;PDC;VAMOS;;GANA;;
55;1;cuscatlan;cojutepeque;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
