idMunicipio;numero;Departamento;Municipio;NUESTRO TIEMPO;FMLN;NUEVAS IDEAS;PDC;VAMOS;PCN;GANA;CD;ARENA;dpto_desc;muni_desc
1;1;ahuachapan;ahuachapan;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Ahuachapán;Ahuachapán
2;2;ahuachapan;apaneca;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Ahuachapán;Apaneca
3;3;ahuachapan;atiquizaya;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Ahuachapán;Atiquizaya
4;4;ahuachapan;concepcion-de-ataco;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Ahuachapán;Concepción de Ataco
5;5;ahuachapan;el-refugio;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Ahuachapán;El Refugio
6;6;ahuachapan;guaymango;;FMLN;;PDC;VAMOS;;GANA;CD;ARENA;Ahuachapán;Guaymango
7;7;ahuachapan;jujutla;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Ahuachapán;Jujutla
8;8;ahuachapan;san-francisco-menendez;;FMLN;;PDC;VAMOS;;GANA;CD;ARENA;Ahuachapán;San Francisco Menéndez
9;9;ahuachapan;san-lorenzo;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA;Ahuachapán;San Lorenzo
10;10;ahuachapan;san-pedro-puxtla;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Ahuachapán;San Pedro Puxtla
11;11;ahuachapan;tacuba;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Ahuachapán;Tacuba
12;12;ahuachapan;turin;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Ahuachapán;Turín
13;2;cabanas;cinquera;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cabañas;Cinquera
14;3;cabanas;dolores;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Cabañas;Dolores
15;4;cabanas;guacotecti;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cabañas;Guacotecti
16;5;cabanas;ilobasco;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cabañas;Ilobasco
17;6;cabanas;jutiapa;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cabañas;Jutiapa
18;7;cabanas;san-isidro;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Cabañas;San Isidro
19;1;cabanas;sensuntepeque;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cabañas;Sensuntepeque
20;8;cabanas;tejutepeque;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cabañas;Tejutepeque
21;9;cabanas;victoria;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cabañas;Victoria
22;2;chalatenango;agua-caliente;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;Agua Caliente
23;3;chalatenango;arcatao;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Chalatenango;Arcatao
24;4;chalatenango;azacualpa;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Chalatenango;Azacualpa
25;1;chalatenango;chalatenango;;FMLN;N;PDC;VAMOS;;;CD;ARENA;Chalatenango;Chalatenango
26;6;chalatenango;citala;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Chalatenango;Citalá
27;7;chalatenango;comalapa;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Chalatenango;Comalapa
28;8;chalatenango;concepcion-quezaltepeque;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Chalatenango;Concepción Quezaltepeque
29;9;chalatenango;dulce-nombre-de-maria;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;Dulce Nombre de María
30;10;chalatenango;el-carrizal;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;El Carrizal
31;11;chalatenango;el-paraiso;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Chalatenango;El Paraíso
32;12;chalatenango;la-laguna;;FMLN;N;PDC;VAMOS;;GANA;CD;;Chalatenango;La Laguna
33;13;chalatenango;la-palma;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Chalatenango;La Palma
34;14;chalatenango;la-reina;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA;Chalatenango;La Reina
35;16;chalatenango;las-vueltas;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA;Chalatenango;Las Vueltas
36;17;chalatenango;nombre-de-jesus;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;Nombre de Jesús
37;18;chalatenango;nueva-concepcion;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;Nueva Concepción
38;19;chalatenango;nueva-trinidad;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Chalatenango;Nueva Trinidad
39;20;chalatenango;ojos-de-agua;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;Ojos de Agua
40;21;chalatenango;potonico;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA;Chalatenango;Potonico
41;22;chalatenango;san-antonio-de-la-cruz;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;San Antonio de la Cruz
42;23;chalatenango;san-antonio-los-ranchos;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;San Antonio Los Ranchos
43;24;chalatenango;san-fernando;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Chalatenango;San Fernando
44;25;chalatenango;san-francisco-lempa;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Chalatenango;San Francisco Lempa
45;26;chalatenango;san-francisco-morazan;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;San Francisco Morazán
46;27;chalatenango;san-ignacio;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA;Chalatenango;San Ignacio
47;28;chalatenango;san-isidro-labrador;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;San Isidro Labrador
48;5;chalatenango;san-jose-cancasque;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;San José Cancasque
49;15;chalatenango;san-jose-las-flores;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;San José Las Flores
